Wikidata ID,SNARC ID
Q51379412,Q10074
Q51845395,Q10006
Q53033847,Q10145
Q52572620,Q133617
Q55075651,Q10197
Q54870057,Q133599
Q53869507,Q6
Q54471221,Q10181
Q55659167,Q10474
Q55657615,Q133594
Q56242250,Q9922
Q56344492,Q10092
Q56242063,Q106076
Q56320584,Q106135
Q58284611,Q9943
Q58973026,Q133644
Q60748075,Q106069
Q62078547,Q9968
Q62082016,Q10171
Q62079009,Q49725
Q63099748,Q9838
Q62079110,Q133715
Q63873440,Q10090
Q64578911,Q9835
Q64027599,Q133701
Q64995589,Q9961
Q65619826,Q117623
Q65930474,Q133719
Q66736002,Q133620
Q67376938,Q1122
Q72022866,Q9978
Q72030539,Q117601
Q75556601,Q10081
Q79645112,Q10131
Q80446812,Q9797
Q80591556,Q10061
Q80607482,Q106118
Q89021600,Q106117
Q91325574,Q9924
Q92909606,Q10140
Q94993988,Q10196
Q94670589,Q133681
Q96084375,Q10201
Q96086516,Q10211
Q96376777,Q10117
Q97495053,Q9851
Q97999343,Q133713
Q98804020,Q134685
Q100234184,Q133666
Q100906234,Q133731
Q104200053,Q10167
Q105062392,Q133718
Q105522978,Q133668
Q106115017,Q9708
Q106817283,Q10077
Q107581410,Q9854
Q107413232,Q106077
Q108369092,Q9842
Q108657428,Q117627
Q108775530,Q106107
Q109235270,Q117608
Q109874272,Q10094
Q110416322,Q10187
Q110763435,Q10193
Q111102995,Q9941
Q111448803,Q10245
Q111457110,Q117607
Q113095515,Q133687
Q115095765,Q10489
Q114782406,Q10041
Q114853062,Q133711
Q115154402,Q106127
Q115805211,Q117618
Q125348611,Q117600
Q125349068,Q117606
Q125348372,Q117624
Q125348487,Q117626
Q167170,Q140081
Q66545434,Q140082
Q7604698,Q140083
Q54989598,Q140084
Q2393314,Q140085
Q188628,Q140086
Q3687335,Q140087
Q10756188,Q140088
Q35749,Q140089
Q1940786,Q140090
Q431289,Q140091
Q3511443,Q140092
Q1807108,Q140093
Q627272,Q140094
Q2990216,Q140095
Q20669447,Q140096
Q15627509,Q140097
Q37726,Q140098
Q192350,Q133593
Q4686866,Q140100
Q3044788,Q140101
Q10870555,Q140102
Q2659904,Q10446
Q759969,Q140104
Q12407159,Q140105
Q1659844,Q140106
Q11000047,Q140107
Q105501529,Q140108
Q7447672,Q140109
Q17279032,Q140110
Q2986700,Q140111
Q105501527,Q140112
Q7447671,Q140113
Q74562105,Q140114
Q11396960,Q140115
Q207652,Q140116
Q2178147,Q140117
Q3363493,Q140118
Q14645593,Q140119
Q399541,Q140120
Q118015598,Q140121
Q18043413,Q140122
Q1788992,Q140123
Q105483186,Q140124
Q2305295,Q140125
Q5741069,Q140126
Q27493,Q140127
Q591250,Q140128
Q848197,Q140129
Q1228967,Q140130
Q10729872,Q140131
Q2631496,Q140132
Q11032,Q140133
Q131920868,Q140134
Q1139056,Q140135
Q90316930,Q140136
Q11122,Q140137
Q887604,Q140138
Q23722468,Q140139
Q6138528,Q140140
Q5341295,Q140141
Q51647,Q140142
Q1451906,Q140143
Q2967401,Q140144
Q3090847,Q140145
Q4936585,Q140146
Q19869268,Q140147
Q105765949,Q140148
Q1110794,Q140149
Q2003221,Q140150
Q131569,Q140151
Q26529,Q140152
Q27787439,Q140153
Q1388421,Q140154
Q14472063,Q140155
Q162827,Q140156
Q2826641,Q140157
Q17376093,Q140158
Q144,Q140159
Q2475782,Q140160
Q1430652,Q140161
Q2052852,Q140162
Q3397866,Q140163
Q625994,Q140164
Q385337,Q140165
Q3244156,Q140166
Q2761147,Q140167
Q30559504,Q140168
Q1623285,Q140169
Q176637,Q140170
Q16153702,Q140171
Q4959031,Q140172
Q3591545,Q140173
Q106625023,Q140174
Q1302299,Q140175
Q10512540,Q140176
Q6823763,Q140177
Q1412224,Q140178
Q5908002,Q140179
Q113297328,Q140180
Q334453,Q140181
Q647882,Q140182
Q14941854,Q140183
Q8207109,Q133636
Q3269648,Q140185
Q105686546,Q140186
Q4677217,Q140187
Q447877,Q140188
Q105815710,Q140189
Q120544,Q140190
Q19850234,Q140191
Q7959671,Q140192
Q189445,Q140193
Q166140,Q140194
Q115368202,Q140195
Q3457065,Q140196
Q800279,Q164587
Q17071542,Q164588
Q177380,Q164589
Q152810,Q164590
Q245260,Q164591
Q44539,Q164592
Q18142,Q164593
Q502074,Q164594
